time,lon,lat,pm2p5
2021-01-18 03:00:00,18.950000000000006,47.25,23.203125
2021-01-18 04:00:00,18.950000000000006,47.25,22.9375
2021-01-18 05:00:00,18.950000000000006,47.25,21.898438
2021-01-18 06:00:00,18.950000000000006,47.25,20.0625
2021-01-18 07:00:00,18.950000000000006,47.25,20.5625
2021-01-18 08:00:00,18.950000000000006,47.25,19.375
2021-01-18 09:00:00,18.950000000000006,47.25,18.59375
2021-01-18 10:00:00,18.950000000000006,47.25,19.125
2021-01-18 11:00:00,18.950000000000006,47.25,18.382812
2021-01-18 12:00:00,18.950000000000006,47.25,17.070312
2021-01-18 13:00:00,18.950000000000006,47.25,16.023438
2021-01-18 14:00:00,18.950000000000006,47.25,16.539062
2021-01-18 15:00:00,18.950000000000006,47.25,18.0
2021-01-18 16:00:00,18.950000000000006,47.25,22.65625
2021-01-18 17:00:00,18.950000000000006,47.25,33.625
2021-01-18 18:00:00,18.950000000000006,47.25,37.859375
2021-01-18 19:00:00,18.950000000000006,47.25,39.859375
2021-01-18 20:00:00,18.950000000000006,47.25,41.265625
2021-01-18 21:00:00,18.950000000000006,47.25,41.546875
2021-01-18 22:00:00,18.950000000000006,47.25,42.265625
2021-01-18 23:00:00,18.950000000000006,47.25,43.734375
2021-01-19 00:00:00,18.950000000000006,47.25,42.75
2021-01-19 01:00:00,18.950000000000006,47.25,39.140625
2021-01-19 02:00:00,18.950000000000006,47.25,34.875
2021-01-19 03:00:00,18.950000000000006,47.25,28.148438
2021-01-19 04:00:00,18.950000000000006,47.25,25.8125
2021-01-19 05:00:00,18.950000000000006,47.25,22.234375
2021-01-19 06:00:00,18.950000000000006,47.25,26.359375
2021-01-19 07:00:00,18.950000000000006,47.25,28.078125
2021-01-19 08:00:00,18.950000000000006,47.25,27.601562
2021-01-19 09:00:00,18.950000000000006,47.25,26.90625
2021-01-19 10:00:00,18.950000000000006,47.25,25.195312
2021-01-19 11:00:00,18.950000000000006,47.25,22.960938
2021-01-19 12:00:00,18.950000000000006,47.25,21.835938
2021-01-19 13:00:00,18.950000000000006,47.25,21.5625
2021-01-19 14:00:00,18.950000000000006,47.25,23.6875
2021-01-19 15:00:00,18.950000000000006,47.25,27.0625
2021-01-19 16:00:00,18.950000000000006,47.25,29.984375
2021-01-19 17:00:00,18.950000000000006,47.25,31.523438
2021-01-19 18:00:00,18.950000000000006,47.25,33.421875
2021-01-19 19:00:00,18.950000000000006,47.25,33.28125
2021-01-19 20:00:00,18.950000000000006,47.25,29.84375
2021-01-19 21:00:00,18.950000000000006,47.25,25.585938
2021-01-19 22:00:00,18.950000000000006,47.25,25.5
2021-01-19 23:00:00,18.950000000000006,47.25,25.523438
2021-01-20 00:00:00,18.950000000000006,47.25,29.515625
2021-01-20 01:00:00,18.950000000000006,47.25,31.460938
2021-01-20 02:00:00,18.950000000000006,47.25,30.476562
2021-01-20 03:00:00,18.950000000000006,47.25,29.539062
2021-01-20 04:00:00,18.950000000000006,47.25,28.375
2021-01-20 05:00:00,18.950000000000006,47.25,26.21875
2021-01-20 06:00:00,18.950000000000006,47.25,26.054688
2021-01-20 07:00:00,18.950000000000006,47.25,27.273438
2021-01-20 08:00:00,18.950000000000006,47.25,25.671875
2021-01-20 09:00:00,18.950000000000006,47.25,22.34375
2021-01-20 10:00:00,18.950000000000006,47.25,20.3125
2021-01-20 11:00:00,18.950000000000006,47.25,15.628906
2021-01-20 12:00:00,18.950000000000006,47.25,13.375
2021-01-20 13:00:00,18.950000000000006,47.25,11.121094
2021-01-20 14:00:00,18.950000000000006,47.25,10.9296875
2021-01-20 15:00:00,18.950000000000006,47.25,10.597656
